Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5,Zrodlo,Pewnosc
LEKI PRZECIWNOWOTWOROWE,Klasyfikacja,lekarski,testowe,W Polsce granica opłacalności procedur medycznych jest:,wykorzystywanym i usankcjonowanym prawnie kryterium refundacyjnym,"ustalona w oparciu o roczny koszt dializoterapii – przewlekłej, powszechnej i jednej z najdroższych procedur medycznych",ustalona w oparciu o 3 krotność produktu krajowego brutto per capita,odmienna dla leków stosowanych w chorobach onkologicznych,,,,,,,EGZ 2017 I termin,niska
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W leczeniu trądziku młodzieńczego racjonalne jest zastosowanie:,klindamycyny,doksycykliny,izotretinoiny,,,norfloksacyny,,,,,EGZ 2017 I termin,wysoka
LEKI PRZECIWWIRUSOWE,Klasyfikacja,lekarski,testowe,Istotne genetycznie uwarunkowane różnice działania stwierdzono dla:,abakawiru,karbamazepiny,warfaryny,,,diltiazemu,,,,,EGZ 2017 I termin,niska
UKŁAD POKARMOWY,Mechanizm działania,lekarski,testowe,Inhibitory dipeptydylopeptydazy IV (DPP IV):,mogą być stosowane łącznie z insuliną,zwiększają ryzyko wystąpienia dolegliwości ze strony przewodu pokarmowego,,,,powodują przyrost masy ciała,są podawane podskórnie,,,,EGZ 2017 I termin,niska
CUKRZYCA,Działania niepożądane,lekarski,testowe,Wskaż zdanie/zdania prawdziwe:,empagliflozyna – zmniejsza ryzyko śmierci z przyczyn sercowo￾naczyniowych u chorych z cukrzycą typu 2,metformina – zmniejsza ryzyko powikłań makroangiopatycznych,,,,sitagliptyna - pomimo euglikemii może spowodować kwasicę ketonową,gliklazyd – powoduje redukcję masy ciała,,,,EGZ 2017 I termin,wysoka
TARCZYCA,Działania niepożądane,lekarski,testowe,Stosowanie tiamazolu może być przyczyną:,żółtaczki cholestatycznej,agranulocytozy,wysypki skórnej,niedoczynności tarczycy,,,,,,,EGZ 2017 I termin,srednia
UKŁAD PRZYWSPÓŁCZULNY,Klasyfikacja,lekarski,testowe,Leczenie triamcynolonem może pogorszyć przebieg:,jaskry,zaburzeń nastroju,zaćmy,osteoporozy,,,,,,,EGZ 2017 I termin,niska
CUKRZYCA,Klasyfikacja,lekarski,testowe,"Pacjent nieprzytomny, z hipoglikemią po spożyciu alkoholu, powinien otrzymać:",20% roztwór glukozy i.v,,,,,glukagon i.m,glukozę p.o,glukagon s.c,,,EGZ 2017 I termin,srednia
OSTEOPOROZA,Klasyfikacja,lekarski,testowe,Potwierdzone klinicznie zmniejszenie ryzyka złamania kości udowej w przebiegu osteoporozy występuje w wyniku leczenia:,ranelinianem strontu,kwasem ibandronowy,,,,raloksyfenem,kalcytoniną,,,,EGZ 2017 I termin,wysoka
GLIKOKORTYKOSTEROIDY,Wskazania,lekarski,testowe,Wskaż prawidłowe połączenie - wskazanie do stosowania glikokortykosteroidów - uzasadnienie zastosowania:,poród przedwczesny – stymulowanie dojrzewania płuc płodu,astma – ograniczenie procesu zapalnego,przełom nadnerczowy – leczenie substytucyjne,,,mononukleoza zakaźna – efekt immunosupresyjny,,,,,EGZ 2017 I termin,srednia
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,lekarski,testowe,Do działań niepożądanych środków antykoncepcyjnych zalicza się:,trądzik,depresję,zwiększenie ryzyka udaru mózgu,,,zwiększenie ryzyka raka jajnika,,,,,EGZ 2017 I termin,niska
TARCZYCA,Wskazania,lekarski,testowe,Witamina D3 (cholekalcyferol):,może być stosowana w niedoczynności przytarczyc,w nadmiarze hamuje wzrost kości,,,,mimo stosowania w dużych dawkach nie chroni przed osteoporotycznymi złamaniami kości,jest nieaktywna u chorych z niewydolnością nerek,,,,EGZ 2017 I termin,niska
UKŁAD POKARMOWY,Klasyfikacja,lekarski,testowe,Działanie przeczyszczające wykazuje:,siarczan magnezu,dokusan sodowy,,,,werapamil,racekadotryl,,,,EGZ 2017 I termin,wysoka
LEKI PRZECIWNOWOTWOROWE,Antidotum,lekarski,testowe,Mesna :,powoduje upłynnienie wydzieliny w drzewie oskrzelowym,jest antidotum przeciw metabolitowi cyklofosfamidu drażniącemu błonę śluzową dróg moczowych,jest stosowana miejscowo w postaci inhalacji,może wywołać skurcz oskrzeli,,,,,,,EGZ 2017 I termin,niska
ZNIECZULENIA MIEJSCOWE,Klasyfikacja,lekarski,testowe,Do leków znieczulających miejscowo stosowanych na błony śluzowe należy:,prylokaina,lidokaina,,,,chlorek etylu,kapsaicyna,,,,EGZ 2017 I termin,wysoka
LEKI PRZECIWNOWOTWOROWE,Mechanizm działania,lekarski,testowe,Inhibitorem kinaz białkowych jest:,rapamycyna,imatynib,,,,bortezomib,lenalidomid,,,,EGZ 2017 I termin,niska
LEKI PRZECIWHISTAMINOWE,Wskazania,lekarski,testowe,Betahistyna:,zwiększa przepływ krwi w uchu wewnętrznym,jest stosowana w leczeniu choroby Méniére'a,,,,jest agonistą receptorów H3,jest lekiem z wyboru w przedsionkowych zawrotach głowy,,,,EGZ 2017 I termin,niska
PADACZKA,Klasyfikacja,lekarski,testowe,Lekiem stosowanym w neuropatii popółpaścowej jest:,amitryptylina,pregabalina,lidokaina,gabapentyna,,,,,,,EGZ 2017 I termin,srednia
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Klasyfikacja,lekarski,testowe,Na drugim stopniu drabiny analgetycznej wg WHO znajduje się:,morfina w dawce ≤ 30 mg/dobę,kodeina w dawce ≤360 mg/dobę,oksykodon w dawce ≤20 mg/dobę,,,fentanyl w dawce ≤ 10 mg/dobę,,,,,EGZ 2017 I termin,wysoka
HEMOSTAZA,Farmakokinetyka,lekarski,testowe,Wskaż prawidłowe zdanie:,czas odstawienia rywaroksabanu przed planowanym zabiegiem chirurgicznym zależy od ryzyka krwawienia,jeśli uzyskano stabilną hemostazę antagonisty witaminy K włącza się w 1. dobie po zabiegu chirurgicznym,,,,warfaryny nie należy odstawiać wcześniej niż na 2 dni przed planowanym zabiegiem chirurgicznym,czas odstawienia edoksabanu przed zabiegiem chirurgicznym nie zależy od wartości klirensu kreatyniny,,,,EGZ 2017 I termin,wysoka
HEMOSTAZA,Klasyfikacja,lekarski,testowe,Wskaż prawidłowy lek przeciwzakrzepowego u osoby z:,zapaleniem żył głębokich - rywaroksaban,ciążą - enoksaparyna,mechaniczną zastawką serca – warfaryna,,,niewydolnością nerek (CCr <30ml/min) – dabigatran,,,,,EGZ 2017 I termin,wysoka
HEMOSTAZA,Wskazania,lekarski,testowe,Podczas leczenia przeciwzakrzepowego z zastosowaniem nadroparyny należy:,kontrolować liczbę płytek,rozważyć korektę dawek u osób otyłych,,,,monitorować dawki za pomocą oznaczenia APTT,"zmniejszyć dawkę w każdym przypadku, jeśli eGFR osiąga wartość mniejszą niż 90 ml/min",,,,EGZ 2017 I termin,wysoka
HEMOSTAZA,Sposób podania,lekarski,testowe,Kangrelor:,jest wskazany podczas przezskórnych interwencji wieńcowych łącznie z kwasem acetylosalicylowym,,,,,jest agonistą receptora P2Y12,wymaga aktywacji w przewodzie pokarmowym,działa przez 1-2 doby,,,EGZ 2017 I termin,niska
HEMOSTAZA,Wskazania,lekarski,testowe,Na istotnie zmniejszoną skuteczność doustnych antagonistów witaminy K może mieć wpływ spożywanie:,szpinaku,,,,,oleju rybnego zawierającego nienasycone kwasy tłuszczowe omega -3,witaminy E,czosnku,,,EGZ 2017 I termin,niska
HEMOSTAZA,Klasyfikacja,lekarski,testowe,"Pacjentom, którzy przebyli udar niedokrwienny mózgu należy zalecić profilaktykę wtórną. Do leków o udokumentowanym działaniu zmniejszających ryzyko następnego udaru należy:",simwastatyna,klopidogrel,lizynopryl,kwas acetylosalicylowy,,,,,,,EGZ 2017 I termin,niska
LEKI HIPOLIPEMIZUJĄCE,Wskazania,lekarski,testowe,Fenofibrat:,zmniejsza stężenie trójglicerydów i zwiększa stężenie cholesterolu HDL,zwiększa ryzyko kamicy pęcherzyka żółciowego,,,,hamuje reduktazę 3-hydroksy-3-metyloglutarylo-CoA (HMG-CoA),nie może być stosowany w połączeniu ze statyną,,,,EGZ 2017 I termin,wysoka
LEKI MOCZOPĘDNE,Klasyfikacja,lekarski,testowe,Hiperurykemię może spowodować:,torasemid,kwas acetylosalicylowy,,,,losartan,allopurynol,,,,EGZ 2017 I termin,srednia
ZABURZENIA RYTMU SERCA,Klasyfikacja,lekarski,testowe,Odstęp QT mogą wydłużać:,amiodaron,sotalol,,,,propranolol,diltiazem,,,,EGZ 2017 I termin,wysoka
NADCIŚNIENIE TĘTNICZE,Wskazania,lekarski,testowe,Indapamid:,ma działanie naczyniorozszerzające,może spowodować hiponatremię,zmniejsza wydalanie wapnia z moczem,jest chętnie stosowany w przewlekłej terapii nadciśnienia tętniczego u osób po 80 roku życia,,,,,,,EGZ 2017 I termin,srednia
LEKI ROŚLINNE I SUPLEMENTY,Wskazania,lekarski,testowe,Produkty biopodobne:,są automatycznie zamienne (substytucja),muszą mieć potwierdzoną podobną immunogenność,,,,są rejestrowane w procedurze zdecentralizowanej,po dopuszczeniu do obrotu mogą być stosowane we wszystkich wskazaniach zamiennie,,,,EGZ 2017 I termin,niska
LEKI PRZECIWPASOŻYTNICZE,Wskazania,lekarski,testowe,W leczeniu zarażenia glistą ludzką stosujemy:,pyrantel,albendazol,,,,tynidazol,krotamiton,,,,EGZ 2017 I termin,wysoka
LEKI PRZECIWWIRUSOWE,Wskazania,lekarski,testowe,W leczeniu grypy zaleca się:,zanamiwir,oseltamiwir,,,,acyklowir,foskarnet,,,,EGZ 2017 I termin,wysoka
UKŁAD ODDECHOWY,Wskazania,lekarski,testowe,"W przypadku dotychczas nieleczonych chorych, u których objawy astmy oskrzelowej w ciągu dnia występują sporadycznie (<2 razy w miesiącu), objawy nocne nie występują, nie ma czynników ryzyka zaostrzeń (także w wywiadzie), a czynność płuc jest prawidłowa należy zastosować:",fenoterol doraźnie,,,,,montelukast przewlekle,regularnie małe dawki cyklezonidu,teofilinę krótkodziałającą,,,EGZ 2017 I termin,wysoka
UKŁAD PRZYWSPÓŁCZULNY,Wskazania,lekarski,testowe,Bromek glikopironium :,wykazuje synergizm działania bronchodylatacyjnego z indakaterolem,jest stosowany w leczeniu podtrzymującym w POChP,,,,jest wziewnym agonistą receptorów muskarynowych,rozszczepia wiązania disiarczkowe w glikoproteinach śluzu,,,,EGZ 2017 I termin,srednia
UKŁAD POKARMOWY,Wskazania,lekarski,testowe,W leczeniu przewlekłego zapalenia trzustki celowe może być zastosowanie:,suplementacji enzymów trzustkowych,tramadolu,pantoprazolu,fluoksetyny,,,,,,,EGZ 2017 I termin,srednia
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Profilaktyka przeciwmalaryczna w warunkach wysokiego ryzyka zakażenia Plasmodium falciparum obejmuje stosowanie:,repelentów,atowakwonu/proguanilu,doksycykliny,,,artemetru/lumefantryny,,,,,EGZ 2017 I termin,srednia
LEKI PRZECIWBAKTERYJNE,Przeciwwskazania,lekarski,testowe,Adalimumab:,jest rekombinowanym w pełni ludzkim przeciwciałem monoklonalnym,neutralizuje biologiczną czynność TNF,jest przeciwwskazany w ciężkich zakażeniach,,,"jest wytwarzany z użyciem komórek zwierzęcych, co wiadomo na podstawie ujednoliconych zasad nadawania nazw przeciwciałom monoklonalnym",,,,,EGZ 2017 I termin,niska
CUKRZYCA,Wskazania,lekarski,testowe,"Dla insuliny aspart u pacjentów z umiarkowaną i ciężką niewydolnością wątroby stwierdzono: t max = ok. 85 min (tmax = ok. 40 minut u pacjentów z prawidłową czynnością wątroby); AUC, Cmax i CL/F były podobne do pacjentów z prawidłową czynnością wątroby. Na tej podstawie u osób z niewydolnością wątroby uzasadnione jest:",wcześniejsze podanie leku przed posiłkiem,stosowanie leku u osób z 7-15 pkt wg skali Childa-Pugha,,,,wyłącznie dożylne podawanie leku,redukcja dawki początkowej o ½ oszacowanej na podstawie m.c. i wyjściowej glikemii,,,,EGZ 2017 I termin,srednia
NADCIŚNIENIE TĘTNICZE,Klasyfikacja,lekarski,testowe,Wartości ciśnienia tętniczego mogą się zwiększyć po włączeniu:,metyloprednizolonu,diklofenaku,,,,eplerenonu,urapidylu,,,,EGZ 2017 I termin,srednia
CHOROBA NIEDOKRWIENNA SERCA,Klasyfikacja,lekarski,testowe,"Farmakoterapię otyłości należy rozważyć, gdy:",BMI> 27 kg/m2 i glikemia na czczo >100mg/dl,BMI≥ 30 kg/m2 i stwierdzono ponowny wzrost masy ciała pomimo wdrożonych procedur niefarmakologicznych,BMI> 27 kg/m2 i SBP ≥160 mmHg,,,"BMI≥ 30 kg/m2, a wcześniejsze procedury niefarmakologiczne spowodowały redukcję masy ciała w przedziale 7-10 kg",,,,,EGZ 2017 I termin,niska
CUKRZYCA,Klasyfikacja,lekarski,testowe,Wzrost masy ciała mogą spowodować:,chlorpromazyna,insulina,kwas walproinowy,,,liraglutyd,,,,,EGZ 2017 I termin,srednia
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Klasyfikacja,lekarski,testowe,Który z leków istotnie zwiększa ryzyko napadów drgawkowych:,tramadol,amitryptylina,prometazyna,,,klorazepan,,,,,EGZ 2017 I termin,niska
FARMAKOLOGIA OGÓLNA I EBM,Wskazania,lekarski,testowe,"Zgoda komisji bioetycznej jest niezbędna, gdy planowane jest przeprowadzenie:",badania klinicznego fazy III,eksperymentu leczniczego,badania klinicznego niekomercyjnego,,,"zastosowania leku off-label, ale zgodnie z aktualną wiedzą medyczną",,,,,EGZ 2017 I termin,srednia
LEKI PRZECIWWIRUSOWE,Wskazania,lekarski,testowe,W procedurze centralnej rejestruje się leki stosowane w:,chorobach rzadkich,terapii HIV,terapii genowej,,,populacji geriatrycznej,,,,,EGZ 2017 I termin,niska
FARMAKOLOGIA OGÓLNA I EBM,Klasyfikacja,lekarski,testowe,Pierwotnym źródłem wiedzy o lekach są:,publikacje wyników badań klinicznych,,,,,wytyczne praktyki klinicznej,charakterystyki produktów leczniczych,podręczniki farmakologii i indeksy leków,,,EGZ 2017 I termin,niska
LEKI ROŚLINNE I SUPLEMENTY,Wskazania,lekarski,testowe,Wskazaniem do stosowania retinolu jest:,łuszczyca,niedowidzenie o zmierzchu,,,,polineuropatia obwodowa,osteomalacja,,,,EGZ 2017 I termin,niska
CHOROBA NIEDOKRWIENNA SERCA,Przeciwwskazania,lekarski,testowe,Feksofenadyna:,jest podawana doustnie,,,,,działa nieselektywnie na rec. H1,przenika w znacznym stopniu przez barierę krew- mózg,działa kardiotoksycznie i jest przeciwwskazana w chorobie niedokrwiennej serca,,,EGZ 2017 I termin,niska
HEMOSTAZA,Klasyfikacja,lekarski,testowe,Wskaż wady dekstranów:,utrudniają wiarygodne oznaczenie grupy krwi i próby krzyżowej,są immunogenne,,,,powodują przyrost objętości wewnątrznaczyniowej przekraczający ich objętość,działają prozakrzepowo,,,,EGZ 2017 I termin,niska
OTĘPIENIE,Wskazania,lekarski,testowe,Podanie rywastygminy jest uzasadnione u pacjentów z:,otępieniem w przebiegu choroby Parkinsona,chorobą Alzheimera,,,,otępieniem naczyniopochodnym,otępieniem czołowo-skroniowym,,,,EGZ 2017 I termin,wysoka
LEKI PRZECIWLĘKOWE,Wskazania,lekarski,testowe,W alkoholowym zespole odstawiennym celowe może być zastosowanie:,tiaminy,diazepamu,płynoterapia z suplementacją elektrolitów,,,akamprozatu,,,,,EGZ 2017 I termin,niska
LEKI IMMUNOSUPRESYJNE,Wskazania,lekarski,testowe,Mykofenolan mofetylu:,jest wskazany w profilaktyce ostrego odrzucania przeszczepu serca,zwiększa ryzyko wystąpienia nowotworów,,,,należy do inhibitorów mTOR,stosowany w czasie ciąży jest bezpieczny dla płodu,,,,EGZ 2017 I termin,srednia
NIEWYDOLNOŚĆ SERCA,Działania niepożądane,lekarski,testowe,Iwabradyna:,może powodować zaburzenia widzenia,wybiórczo i swoiście wpływa na na prąd If rozrusznika serca,,,,obniża kurczliwość mięśnia sercowego,wydłuża czas repolaryzacji komór,,,,EGZ 2017 I termin,niska
CHOROBA NIEDOKRWIENNA SERCA,Wskazania,lekarski,testowe,Monoazotan izosorbidu:,jest skuteczny po podaniu doustnym,poprawia ukrwienie obszarów podwsierdziowych serca,,,,podlega istotnemu efektowi pierwszego przejścia przez wątrobę,jest przeciwwskazany w naczynioskurczowej postaci choroby wieńcowej,,,,EGZ 2017 I termin,srednia
HEMOSTAZA,Wskazania,lekarski,testowe,"W leczeniu owrzodzeń żylnych, jako leczenie uzupełniające, skuteczne są:",mikronizowana diosmina,opatrunki ze srebrem,pentoksyfilina,filgrastym,,,,,,,EGZ 2017 I termin,srednia
OTĘPIENIE,Klasyfikacja,lekarski,testowe,Funkcje kognitywne u osób bez zaburzeń poznawczych poprawiają:,piracetam,winpocetyna,nicergolina,metylfenidat,,,,,,,EGZ 2017 I termin,wysoka
LEKI PRZECIWPSYCHOTYCZNE,Monitorowanie,lekarski,testowe,Klozapina:,może być skuteczna w lekoopornej schizofrenii,wymaga monitorowania morfologii krwi,nasila objawy zespołu metabolicznego,,,w małych dawkach zalecana jest do leczenia bezsenności,,,,,EGZ 2017 I termin,srednia
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Wskazania,lekarski,testowe,W terapii substytucyjnej uzależnienia od opioidów celowe może być zastosowanie:,buprenorfiny,metadonu,,,,nalokson,warenikliny,,,,EGZ 2017 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,lekarski,testowe,Silnie hepatotoksycznie działa:,izoniazyd,pirazynamid,ryfampicyna,,,streptomycyna,,,,,EGZ 2017 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Ciąża,lekarski,testowe,Etambutol:,zapobiega powstawaniu lekooporności na inne leki przeciwprątkowe,może spowodować zaburzenia widzenia barwnego,,,,nie powinien być stosowany przez kobiety w ciąży,nie jest stosowany w leczeniu gruźlicy pozapłucnej,,,,EGZ 2017 I termin,wysoka
LEKI NASENNE,Wskazania,lekarski,testowe,Wskaż prawdziwe połączenie lek – wskazanie:,zolpidem - bezsenność,rotygotyna – zespół niespokojnych nóg,alprazolam - napady paniki,fluoksetyna – zaburzenia kompulsywne,,,,,,,EGZ 2017 I termin,srednia
LEKI PRZECIWDEPRESYJNE,Struktura chemiczna,lekarski,testowe,"Jeśli leczymy depresję, to:",u pacjentów z niewydolnością nerek lekiem pierwszego wyboru może być sertralina,istnieje zwiększone ryzyko zachowań samobójczych u pacjentów w wieku poniżej 25 lat w okresie rozpoczynania leczenia przeciwdepresyjnego,,,,u osób starszych preferujemy trójpierścieniowe laki przeciwdepresyjne,brak poprawy po 4 tygodniach leczenia sugeruje rozpoznanie depresji lekoopornej,,,,EGZ 2017 I termin,wysoka
UKŁAD ODDECHOWY,Klasyfikacja,lekarski,testowe,Działanie przeciwkaszlowe wykazuje:,dekstrometorfan,kodeina,,,,loperamid,prometazyna,,,,EGZ 2017 I termin,wysoka
NIEWYDOLNOŚĆ SERCA,Antidotum,lekarski,testowe,Atropina jest stosowana w przypadku zatrucia:,grzybami strzępiakami i lejkówkami,glikozydami naparstnicy,związkami fosforoorganicznymi,,,pokrzykiem wilczą jagodą,,,,,EGZ 2017 I termin,srednia
TARCZYCA,Klasyfikacja,lekarski,testowe,W porównaniu do osób dorosłych w populacji pediatrycznej:,zmieniona reakcja na leki jest uwarunkowana przede wszystkim zmianami w farmakokinetyce leków,do osiągnięcia stężenia terapeutycznego leku mogą wystarczyć w pierwszym kwartale życia (w przeliczeniu na masę ciała) mniejsze dawki leku,"w pierwszym półroczu życia leki wydalane przez nerki są eliminowane wolniej, a ich biologiczny okres półtrwania jest dłuższy",w pierwszym roku życia frakcja wolna leku może być większa,,,,,,,EGZ 2017 I termin,niska
NIEWYDOLNOŚĆ SERCA,Wskazania,lekarski,testowe,Inhibitory fosfodiesterazy typu 5:,są skuteczne w leczeniu zaburzeń erekcji,"nie mogą być przyjmowane jednocześnie z azotanami z uwagi na duże ryzyko wystąpienia ciężkiej, niekorygowalnej hipotonii",,,,wydłużają dystans marszu bez bólu u pacjentów z chromaniem przestankowym,mają działanie inotropowe dodatnie,,,,EGZ 2017 I termin,niska
UKŁAD POKARMOWY,Klasyfikacja,lekarski,testowe,Wpływ rozkurczający na mięśniówkę przewodu pokarmowego ma:,drotaweryna,,,,,itopryd,mesalazyna,ryfaksymina,,,EGZ 2017 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,lekarski,testowe,Lanzoprazol stosowany przewlekle powoduje:,wzrost ryzyka zakażenia Clostridum difficile,wzrost ryzyka infekcji dróg oddechowych,zmniejszenie wchłaniania wapnia z przewodu pokarmowego,zmniejszenie przekształcania klopidogrelu do aktywnych pochodnych,,,,,,,EGZ 2017 I termin,niska
LEKI PRZECIWBAKTERYJNE,Mechanizm działania,lekarski,testowe,Sposób eradykacji Helicobacter pylori zalecany w Polsce to:,"podwójna dawka IPP, metronidazol, tetracyklina, cytrynian bizmutu przez 14 dni",,,,,"terapia sekwencyjna przez 10 dni - podwójna dawka IPP (inhibitora pompy protonowej) z amoksycyliną (dni 1-5), a następnie z klarytromycyną i metronidazolem (dni 6-10)","podwójna dawka IPP, amoksycylina, klarytromycyna przez 10 dni","podwójna dawka IPP, amoksycylina, klarytromycyna, metronidazol przez 14 dni",,,EGZ 2017 I termin,wysoka
LEKI PRZECIWBAKTERYJNE,Ciąża,lekarski,testowe,Udokumentowane działanie teratogenne wykazuje:,trimetoprim-sulfametoksazol,warfaryna,kwas walproinowy,gentamycyna,,,,,,,EGZ 2017 I termin,wysoka
LEKI PRZECIWDEPRESYJNE,Antidotum,lekarski,testowe,Wskaż prawdziwe połączenie lek – odtrutka:,oksazepam - flumazenil,trójpierścieniowe leki przeciwdepresyjne – wodorowęglan sodu,żelazo - deferoksamina,warfaryna - fitomenadion,,,,,,,EGZ 2017 I termin,srednia
CHOROBA NIEDOKRWIENNA SERCA,Mechanizm działania,lekarski,testowe,Wazodylatacyjny mechanizm działania azotanów zależy od:,wzrostu stężenia cGMP,defosforylacji łańcuchów lekkich miozyny,,,,hamowania aktywności cyklazy guanylowej,pobudzania kanałów potasowych,,,,EGZ 2017 I termin,srednia
ZABURZENIA RYTMU SERCA,Działania niepożądane,lekarski,testowe,Bradykardia może wystąpić po zastosowaniu:,werapamilu,,,,,nifedypiny,trimetazydyny,spironolaktonu,,,EGZ 2017 I termin,srednia
UKŁAD WSPÓŁCZULNY,Farmakokinetyka,lekarski,testowe,Teoretyczną przesłanką stosowania beta-adrenolityków w chorobie wieńcowej serca jest:,usprawnienie metabolizmu kardiomiocytów,zapobieganie proarytmicznemu działaniu katecholamin,poprawa perfuzji warstwy podwsierdziowej,korzystny wpływ hemodynamiczny zmniejszający zapotrzebowanie mięśnia sercowego na tlen,,,,,,,EGZ 2017 I termin,srednia
NIEWYDOLNOŚĆ SERCA,Wskazania,lekarski,testowe,Digoksyna:,aktywuje układ przywspółczulny,wywiera arytmie i zaburzenia przewodzenia,jest stosowana w celu kontroli częstotliwości rytmu komór u chorych z migotaniem przedsionków,w zatruciu można zastosować fragmenty Fab przeciwciał wiążących,,,,,,,EGZ 2017 I termin,niska
NADCIŚNIENIE TĘTNICZE,Wskazania,lekarski,testowe,Wskaż prawdziwe połączenie lek – wskazanie:,ranolazyna - stabilna choroba niedokrwienna serca,,,,,cilostazol - ostra niewydolność mięśnia sercowego,milrynon - migotanie przedsionków,riocyguat - nadciśnienie tętnicze,,,EGZ 2017 I termin,srednia
NADCIŚNIENIE TĘTNICZE,Wskazania,lekarski,testowe,Do leków stosowanych w leczeniu nadciśnienia tętniczego ze wskazań naglących (RR>180/120 mmHg z powikłaniami narządowymi) należą:,esmolol,urapidyl,,,,doksazosyna,kaptopryl,,,,EGZ 2017 I termin,wysoka
NIEWYDOLNOŚĆ SERCA,Klasyfikacja,lekarski,testowe,Do leków zmniejszających ryzyko zgonu sercowo-naczyniowego w przebiegu skurczowej niewydolności serca należy:,bisoprolol,eplerenon,sakubitril w skojarzeniu z walsartanem,,,digoksyna,,,,,EGZ 2017 I termin,wysoka
CHOROBA NIEDOKRWIENNA SERCA,Wskazania,lekarski,testowe,"U 67-letniej kobiety z dyskomfortem zamostkowym występującym przy wchodzeniu na 3 piętro i ustępującym w spoczynku, z blokiem przedsionkowo-komorowym II stopnia typu Mobitza w badaniu met. Holtera należy zastosować:",rosuwastatynę,kwas acetylosalicylowy,triazotan glicerolu w aerozolu,,,nebiwolol,,,,,EGZ 2017 I termin,niska
FARMAKOKINETYKA,Monitorowanie,lekarski,testowe,Wskaż prawidłowe zasady prowadzenia terapii monitorowanej stężeniami leku:,oznaczenia należy wykonywać po osiągnięciu przez lek stanu stacjonarnego,"pomiary należy wykonywać w momencie Cmin, czyli tuż przed podaniem kolejnej, zwykle porannej dawki leku",w większości przypadków wystarczy oznaczenie całkowitego stężenia leku,w przypadku leków o kinetyce liniowej można wyliczyć modyfikację dawki na podstawie pomiarów aktualnych i znajomości docelowych stężeń leku we krwi,,,,,,,EGZ 2017 I termin,niska
ZABURZENIA RYTMU SERCA,Wskazania,lekarski,testowe,Które stwierdzenie jest prawdziwe:,propafenon nie jest zalecany u pacjentów z chorobą wieńcową,amiodaron można stosować w celu zwiększenia skuteczności kardiowersji elektrycznej,,,,dronedaron zmniejsza umieralność u pacjentów z niewydolnością serca w klasie III/IV NYHA,beta-adrenolityki stosuje się w celu kardiowersji farmakologicznej,,,,EGZ 2017 I termin,wysoka
LEKI HIPOLIPEMIZUJĄCE,Działania niepożądane,lekarski,testowe,W celu oceny działań niepożądanych w trakcie leczenia atorwastatyną należy sprawdzić:,aktywność kinazy fosfokreatynowej (CPK),aktywność enzymów wątrobowych (AST/ALT),,,,stężenie glukozy,stężenie peptydu natriuretycznego typu B (BNP),,,,EGZ 2017 I termin,niska
LEKI MOCZOPĘDNE,Wskazania,lekarski,testowe,W leczeniu zagrażającej życiu hiperkaliemii można zastosować:,10 ml 10% chlorku lub glukonianu wapnia i.v. w 10 min bolusie,500 ml 20% glukozy z 20 j.m. insuliny krótkodziałającej i.v. przez 1-2 godziny,hemodializę,,,diuretyki pętlowe i.v,,,,,EGZ 2017 I termin,wysoka
UKŁAD WSPÓŁCZULNY,Mechanizm działania,lekarski,testowe,Powinowactwo do receptorów alfa-1-adrenergicznych wykazuje:,doksazosyna,labetalol,adrenalina,karwedilol,,,,,,,EGZ 2017 I termin,wysoka
UKŁAD POKARMOWY,Wskazania,lekarski,testowe,Apiksaban jest substratem dla P-gp. Co to oznacza?,silne induktory P-gp o działaniu ogólnoustrojowym zmniejszają skuteczność apiksabanu,,,,,lek jest wchłaniany z p. pokarmowego z wykorzystaniem transportu ułatwionego,jest metabolizowany w wątrobie i nie powinien być stosowany u osób z 10- 15 pkt wg skali Childa-Pugha,"jest prawdopodobne, że hemodializa byłaby skutecznym środkiem zaradczym podczas przedawkowania apiksabanu",,,EGZ 2017 I termin,srednia
FARMAKOKINETYKA,Klasyfikacja,lekarski,testowe,Opis rzedowości procesu:,Dotyczy wszystkich etapów farmakokinetycznych,Definiuje dynamiki zmian w układzie stężenie-czas w zależności od budowy chemicznej leku,Może się zmienić dla leku w trakcie pojedynczej ekspozycji,Powstaje ostatecznie w badaniach w medelu zwierzęcym,,,,,,,EGZ 2017 II termin,niska
